city,household,federal poverty level,level,population,income,difference,takehome,fifty,thirty,twenty,housing,health,grocery,transit,childcare,car,cityimg,hhimg,inc0,inc1,inc2,inc3,inc4,inc5,inc6,inc7,inc8,inc9,decile
"Baltimore, MD",single woman,11670,median,622271,22985,11315,1466,733,440,293,847,206,271,68,0,475,baltimore-01.svg,family-01.svg,,,,,,,,,,,
"Baltimore, MD",married couple,15730,median,622271,76955,61225,4848,2424,1454,970,1001,412,496,138,0,603,baltimore-01.svg,family-01.svg,,,,,,,,,,,
"Baltimore, MD","single mother, 1 child",15730,median,622271,32517,16787,2042,1021,613,408,1252,314,399,68,808,480,baltimore-01.svg,family-01.svg,,,,,,,,,,,
"Bismarck, ND",married couple 2 children,23850,median,65123,62841,38991,4187,2094,1256,837,704,922,782,60,985,608,bismarck-01.svg,family-01.svg,,,,,,,,,,,
"Bismarck, ND",single man,11670,median,65123,32118,20448,2111,1056,633,422,497,294,271,30,0,459,bismarck-01.svg,family-01.svg,,,,,,,,,,,
"Bismarck, ND",single woman,11670,median,65123,28877,17207,1906,953,572,381,497,294,271,30,0,459,bismarck-01.svg,family-01.svg,,,,,,,,,,,
"Bismarck, ND",married couple,15730,median,65123,83024,67294,5460,2730,1638,1092,563,589,496,60,0,603,bismarck-01.svg,family-01.svg,,,,,,,,,,,
"Bismarck, ND","single mother, 1 child",15730,median,65123,37769,22039,2471,1235,741,494,704,461,399,30,608,464,bismarck-01.svg,family-01.svg,,,,,,,,,,,
"Boise, ID",married couple 2 children,23850,median,211655,72104,48254,4482,2241,1345,896,719,729,782,72,887,620,boise-01.svg,family-01.svg,,,,,,,,,,,
"Boise, ID",single man,11670,median,211655,28891,17221,1786,893,536,357,428,241,271,36,0,482,boise-01.svg,family-01.svg,,,,,,,,,,,
"Boise, ID",single woman,11670,median,211655,27083,15413,1681,840,504,336,428,241,271,36,0,482,boise-01.svg,family-01.svg,,,,,,,,,,,
"Boise, ID",married couple,15730,median,211655,82694,66964,5100,2550,1530,1020,572,482,496,72,0,614,boise-01.svg,family-01.svg,,,,,,,,,,,
"Boise, ID","single mother, 1 child",15730,median,211655,42212,26482,2543,1271,763,509,719,364,399,36,543,487,boise-01.svg,family-01.svg,,,,,,,,,,,
"Boston, MA",married couple 2 children,23850,median,639594,43300,19450,2814,1407,844,563,1454,883,782,150,1339,583,boston-01.svg,family-01.svg,,,,,,,,,,,
"Boston, MA",single man,11670,median,639594,35726,24056,2239,1119,672,448,1042,292,271,75,0,450,boston-01.svg,family-01.svg,,,,,,,,,,,
"Boston, MA",single woman,11670,median,639594,31195,19525,1965,982,589,393,1042,292,271,75,0,450,boston-01.svg,family-01.svg,,,,,,,,,,,
"Boston, MA",married couple,15730,median,639594,100584,84854,6137,3069,1841,1227,1164,584,496,150,0,577,boston-01.svg,family-01.svg,,,,,,,,,,,
"Boston, MA","single mother, 1 child",15730,median,639594,31803,16073,2001,1001,600,400,1454,442,399,75,1048,454,boston-01.svg,family-01.svg,,,,,,,,,,,
"Chicago, IL",married couple 2 children,23850,median,2712608,62153,38303,3996,1998,1199,799,979,702,782,200,1294,583,chicago-01.svg,family-01.svg,,,,,,,,,,,
"Chicago, IL",single man,11670,median,2712608,35637,23967,2253,1126,676,451,727,221,271,100,0,450,chicago-01.svg,family-01.svg,,,,,,,,,,,
"Chicago, IL",single woman,11670,median,2712608,28478,16808,1814,907,544,363,727,221,271,100,0,450,chicago-01.svg,family-01.svg,,,,,,,,,,,
"Chicago, IL",married couple,15730,median,2712608,78062,62332,4972,2486,1492,994,826,442,496,200,0,577,chicago-01.svg,family-01.svg,,,,,,,,,,,
"Chicago, IL","single mother, 1 child",15730,median,2712608,30249,14519,1922,961,577,384,979,351,399,100,791,454,chicago-01.svg,family-01.svg,,,,,,,,,,,
"Cleveland, OH",married couple 2 children,23850,median,392114,20872,-2978,1473,736,442,295,750,797,782,170,895,608,cleveland-01.svg,family-01.svg,,,,,,,,,,,
"Cleveland, OH",single man,11670,median,392114,18624,6954,1242,621,373,248,493,253,271,85,0,475,cleveland-01.svg,family-01.svg,,,,,,,,,,,
"Cleveland, OH",single woman,11670,median,392114,15909,4239,1074,537,322,215,493,253,271,85,0,475,cleveland-01.svg,family-01.svg,,,,,,,,,,,
"Cleveland, OH",married couple,15730,median,392114,53244,37514,3486,1743,1046,697,592,506,496,170,0,603,cleveland-01.svg,family-01.svg,,,,,,,,,,,
"Cleveland, OH","single mother, 1 child",15730,median,392114,18732,3002,1249,624,375,250,750,399,399,85,552,480,cleveland-01.svg,family-01.svg,,,,,,,,,,,
"Denver, CO",married couple 2 children,23850,median,600158,60937,37087,3910,1955,1173,782,960,758,782,198,1259,608,denver-01.svg,family-01.svg,,,,,,,,,,,
"Denver, CO",single man,11670,median,600158,35635,23965,2235,1118,671,447,600,251,271,99,0,475,denver-01.svg,family-01.svg,,,,,,,,,,,
"Denver, CO",single woman,11670,median,600158,34915,23245,2192,1096,658,438,600,251,271,99,0,475,denver-01.svg,family-01.svg,,,,,,,,,,,
"Denver, CO",married couple,15730,median,600158,86481,70751,5434,2717,1630,1087,742,502,496,198,0,603,denver-01.svg,family-01.svg,,,,,,,,,,,
"Denver, CO","single mother, 1 child",15730,median,600158,37994,22264,2378,1189,713,476,960,379,399,99,840,480,denver-01.svg,family-01.svg,,,,,,,,,,,
"Detroit, MI",married couple 2 children,23850,median,695437,20504,-3346,1406,703,422,281,843,737,782,99,1029,583,detroit-01.svg,family-01.svg,,,,,,,,,,,
"Detroit, MI",single man,11670,median,695437,16373,4703,1065,532,319,213,508,233,271,50,0,450,detroit-01.svg,family-01.svg,,,,,,,,,,,
"Detroit, MI",single woman,11670,median,695437,16291,4621,1060,530,318,212,508,233,271,50,0,450,detroit-01.svg,family-01.svg,,,,,,,,,,,
"Detroit, MI",married couple,15730,median,695437,49508,33778,3200,1600,960,640,646,465,496,99,0,577,detroit-01.svg,family-01.svg,,,,,,,,,,,
"Detroit, MI","single mother, 1 child",15730,median,695437,21729,5999,1391,695,417,278,843,368,399,50,677,454,detroit-01.svg,family-01.svg,,,,,,,,,,,
"Evansville, IN",married couple 2 children,23850,median,120220,31146,7296,2115,1057,634,423,739,1042,782,120,978,613,evansville-01.svg,family-01.svg,,,,,,,,,,,
"Evansville, IN",single man,11670,median,120220,24417,12747,1574,787,472,315,533,335,271,60,0,480,evansville-01.svg,family-01.svg,,,,,,,,,,,
"Evansville, IN",single woman,11670,median,120220,21920,10250,1420,710,426,284,533,335,271,60,0,480,evansville-01.svg,family-01.svg,,,,,,,,,,,
"Evansville, IN",married couple,15730,median,120220,58363,42633,3786,1893,1136,757,572,669,496,120,0,607,evansville-01.svg,family-01.svg,,,,,,,,,,,
"Evansville, IN","single mother, 1 child",15730,median,120220,25964,10234,1674,837,502,335,739,521,399,60,549,484,evansville-01.svg,family-01.svg,,,,,,,,,,,
"Houston, TX",married couple 2 children,23850,median,2167988,40234,16384,2778,1389,833,556,926,694,782,180,835,583,houston-01.svg,family-01.svg,,,,,,,,,,,
"Houston, TX",single man,11670,median,2167988,32075,20405,2135,1067,640,427,623,228,271,90,0,450,houston-01.svg,family-01.svg,,,,,,,,,,,
"Houston, TX",single woman,11670,median,2167988,29430,17760,1964,982,589,393,623,228,271,90,0,450,houston-01.svg,family-01.svg,,,,,,,,,,,
"Houston, TX",married couple,15730,median,2167988,68531,52801,4602,2301,1381,920,750,456,496,180,0,577,houston-01.svg,family-01.svg,,,,,,,,,,,
"Houston, TX","single mother, 1 child",15730,median,2167988,27535,11805,1842,921,553,368,926,347,399,90,565,454,houston-01.svg,family-01.svg,,,,,,,,,,,
"Los Angeles, CA",married couple 2 children,23850,median,3862210,45096,21246,3022,1511,907,604,1398,778,782,200,901,583,losangeles-01.svg,family-01.svg,,,,,,,,,,,
"Los Angeles, CA",single man,11670,median,3862210,35666,23996,2286,1143,686,457,896,258,271,100,0,450,losangeles-01.svg,family-01.svg,,,,,,,,,,,
"Los Angeles, CA",single woman,11670,median,3862210,28556,16886,1859,929,558,372,896,258,271,100,0,450,losangeles-01.svg,family-01.svg,,,,,,,,,,,
"Los Angeles, CA",married couple,15730,median,3862210,73543,57813,4161,2081,1248,832,1083,514,496,200,0,577,losangeles-01.svg,family-01.svg,,,,,,,,,,,
"Los Angeles, CA","single mother, 1 child",15730,median,3862210,30786,15056,1994,997,598,399,1398,389,399,100,689,454,losangeles-01.svg,family-01.svg,,,,,,,,,,,
"Memphis, TN",married couple 2 children,23850,median,656715,29788,5938,2104,1052,631,421,780,618,782,100,593,608,memphis-01.svg,family-01.svg,,,,,,,,,,,
"Memphis, TN",single man,11670,median,656715,26909,15239,1802,901,541,360,576,203,271,50,0,475,memphis-01.svg,family-01.svg,,,,,,,,,,,
"Memphis, TN",single woman,11670,median,656715,22192,10522,1498,749,449,300,576,203,271,50,0,475,memphis-01.svg,family-01.svg,,,,,,,,,,,
"Memphis, TN",married couple,15730,median,656715,67636,51906,4544,2272,1363,909,658,405,496,100,0,603,memphis-01.svg,family-01.svg,,,,,,,,,,,
"Memphis, TN","single mother, 1 child",15730,median,656715,22981,7251,1549,774,465,310,780,309,399,50,384,480,memphis-01.svg,family-01.svg,,,,,,,,,,,
"Miami, FL",married couple 2 children,23850,median,416432,53651,29801,3643,1821,1093,729,1166,786,782,290,888,608,miami-01.svg,family-01.svg,,,,,,,,,,,
"Miami, FL",single man,11670,median,416432,31257,19587,2082,1041,625,416,747,259,271,145,0,475,miami-01.svg,family-01.svg,,,,,,,,,,,
"Miami, FL",single woman,11670,median,416432,23458,11788,1579,790,474,316,747,259,271,145,0,475,miami-01.svg,family-01.svg,,,,,,,,,,,
"Miami, FL",married couple,15730,median,416432,72504,56774,4858,2429,1457,972,910,517,496,290,0,603,miami-01.svg,family-01.svg,,,,,,,,,,,
"Miami, FL","single mother, 1 child",15730,median,416432,32808,17078,2182,1091,655,436,1166,393,399,145,566,480,miami-01.svg,family-01.svg,,,,,,,,,,,
"New York, NY",married couple 2 children,23850,median,8354889,64190,40340,4044,2022,1213,809,1440,1061,782,233,2011,583,newyork-01.svg,family-01.svg,,,,,,,,,,,
"New York, NY",single man,11670,median,8354889,38456,26786,2404,1202,721,481,1163,373,271,117,0,450,newyork-01.svg,family-01.svg,,,,,,,,,,,
"New York, NY",single woman,11670,median,8354889,28700,17030,1828,914,548,366,1163,373,271,117,0,450,newyork-01.svg,family-01.svg,,,,,,,,,,,
"New York, NY",married couple,15730,median,8354889,80225,64495,4992,2496,1498,998,1215,745,496,233,0,577,newyork-01.svg,family-01.svg,,,,,,,,,,,
"New York, NY","single mother, 1 child",15730,median,8354889,33759,18029,2127,1063,638,425,1440,615,399,117,1045,454,newyork-01.svg,family-01.svg,,,,,,,,,,,
"Oakland, CA",married couple 2 children,23850,median,402339,55409,31559,3649,1825,1095,730,1578,967,782,150,901,608,oakland-01.svg,family-01.svg,,,,,,,,,,,
"Oakland, CA",single man,11670,median,402339,41592,29922,2620,1310,786,524,1035,321,271,75,0,475,oakland-01.svg,family-01.svg,,,,,,,,,,,
"Oakland, CA",single woman,11670,median,402339,31413,19743,2032,1016,610,406,1035,321,271,75,0,475,oakland-01.svg,family-01.svg,,,,,,,,,,,
"Oakland, CA",married couple,15730,median,402339,91555,75825,5712,2856,1714,1142,1255,641,496,150,0,603,oakland-01.svg,family-01.svg,,,,,,,,,,,
"Oakland, CA","single mother, 1 child",15730,median,402339,33587,17857,2163,1082,649,433,1578,484,399,75,689,480,oakland-01.svg,family-01.svg,,,,,,,,,,,
"Omaha, NE",married couple 2 children,23850,median,435454,51098,27248,3314,1657,994,663,790,824,782,110,1079,620,omaha-01.svg,family-01.svg,,,,,,,,,,,
"Omaha, NE",single man,11670,median,435454,31136,19466,1974,987,592,395,470,262,271,55,0,482,omaha-01.svg,family-01.svg,,,,,,,,,,,
"Omaha, NE",single woman,11670,median,435454,24280,12610,1567,784,470,313,470,262,271,55,0,482,omaha-01.svg,family-01.svg,,,,,,,,,,,
"Omaha, NE",married couple,15730,median,435454,77258,61528,4853,2427,1456,971,629,524,496,110,0,614,omaha-01.svg,family-01.svg,,,,,,,,,,,
"Omaha, NE","single mother, 1 child",15730,median,435454,31141,15411,1975,987,592,395,790,412,399,55,664,487,omaha-01.svg,family-01.svg,,,,,,,,,,,
"Philadelphia, PA",married couple 2 children,23850,median,1546920,36684,12834,2453,1226,736,491,1135,897,782,182,1219,583,philadelphia-01.svg,family-01.svg,,,,,,,,,,,
"Philadelphia, PA",single man,11670,median,1546920,29117,17447,1868,934,560,374,799,303,271,91,0,450,philadelphia-01.svg,family-01.svg,,,,,,,,,,,
"Philadelphia, PA",single woman,11670,median,1546920,21922,10252,1423,711,427,285,799,303,271,91,0,450,philadelphia-01.svg,family-01.svg,,,,,,,,,,,
"Philadelphia, PA",married couple,15730,median,1546920,69617,53887,4490,2245,1347,898,942,606,496,182,0,577,philadelphia-01.svg,family-01.svg,,,,,,,,,,,
"Philadelphia, PA","single mother, 1 child",15730,median,1546920,29945,14215,1919,960,576,384,1135,449,399,91,743,454,philadelphia-01.svg,family-01.svg,,,,,,,,,,,
"Portland, OR","married couple, 2 children",23850,median,602568,66864,43014,4110,2055,1233,822,922,684,782,200,1064,608,portland-01.svg,family-01.svg,,,,,,,,,,,
"Portland, OR",single man,11670,median,602568,30606,18936,1855,928,557,371,666,226,271,100,0,475,portland-01.svg,family-01.svg,,,,,,,,,,,
"Portland, OR",single woman,11670,median,602568,29485,17815,1790,895,537,358,666,226,271,100,0,475,portland-01.svg,family-01.svg,,,,,,,,,,,
"Portland, OR",married couple,15730,median,602568,88198,72468,5286,2643,1586,1057,774,452,496,200,0,603,portland-01.svg,family-01.svg,,,,,,,,,,,
"Portland, OR","single mother, 1 child",15730,median,602568,31341,15611,1899,949,570,380,922,342,399,100,733,480,portland-01.svg,family-01.svg,,,,,,,,,,,
"Roanoke, VA",married couple 2 children,23850,median,97949,41981,18131,2725,1363,818,545,720,846,782,192,1076,613,roanoke-01.svg,family-01.svg,,,,,,,,,,,
"Roanoke, VA",single man,11670,median,97949,29394,17724,1857,928,557,371,498,279,271,96,0,480,roanoke-01.svg,family-01.svg,,,,,,,,,,,
"Roanoke, VA",single woman,11670,median,97949,22903,11233,1470,735,441,294,498,279,271,96,0,480,roanoke-01.svg,family-01.svg,,,,,,,,,,,
"Roanoke, VA",married couple,15730,median,97949,61011,45281,3861,1930,1158,772,578,558,496,192,0,607,roanoke-01.svg,family-01.svg,,,,,,,,,,,
"Roanoke, VA","single mother, 1 child",15730,median,97949,27661,11931,1753,877,526,351,720,423,399,96,655,484,roanoke-01.svg,family-01.svg,,,,,,,,,,,
"St. Louis, MO",married couple 2 children,23850,median,318727,32494,8644,2195,1097,658,439,814,871,782,156,815,608,stlouis-01.svg,family-01.svg,,,,,,,,,,,
"St. Louis, MO",single man,11670,median,318727,26386,14716,1702,851,511,340,532,278,271,78,0,475,stlouis-01.svg,family-01.svg,,,,,,,,,,,
"St. Louis, MO",single woman,11670,median,318727,19292,7622,1275,637,382,255,532,278,271,78,0,475,stlouis-01.svg,family-01.svg,,,,,,,,,,,
"St. Louis, MO",married couple,15730,median,318727,70410,54680,4461,2230,1338,892,631,471,496,156,0,603,stlouis-01.svg,family-01.svg,,,,,,,,,,,
"St. Louis, MO","single mother, 1 child",15730,median,318727,24039,8309,1561,780,468,312,814,373,399,78,791,480,stlouis-01.svg,family-01.svg,,,,,,,,,,,
"Washington, DC",married couple 2 children,23850,median,633736,68271,44421,4226,2113,1268,845,1469,747,782,474,2597,620,washington-01.svg,family-01.svg,,,,,,,,,,,
"Washington, DC",single man,11670,median,633736,50892,39222,3008,1504,902,602,1176,227,271,237,0,482,washington-01.svg,family-01.svg,,,,,,,,,,,
"Washington, DC",single woman,11670,median,633736,44368,32698,2680,1340,804,536,1176,227,271,237,0,482,washington-01.svg,family-01.svg,,,,,,,,,,,
"Washington, DC",married couple,15730,median,633736,142152,126422,7976,3988,2393,1595,1239,453,496,474,0,614,washington-01.svg,family-01.svg,,,,,,,,,,,
"Washington, DC","single mother, 1 child",15730,median,633736,35665,19935,2204,1102,661,441,1469,374,399,237,1472,487,washington-01.svg,family-01.svg,,,,,,,,,,,
