city,household,level,population,area,income,difference,takehome,fifty,thirty,twenty,housing,health,grocery,transit,childcare,cityimg,hhimg
"Detroit, MI",single man,median,695437,1,16373,4703,1065,532,319,213,508,233,271,50,0,detroit-01.svg,single-01.svg
"Detroit, MI",single woman,median,695437,1,16291,4621,1060,530,318,212,508,233,271,50,0,detroit-01.svg,woman-01.svg
"Detroit, MI",married couple,median,695437,1,49508,33778,3200,1600,960,640,646,465,496,99,0,detroit-01.svg,couple-01.svg
"Detroit, MI","single mother, 1 child",median,695437,1,21729,5999,1391,695,417,278,843,368,399,50,677,detroit-01.svg,mother-01.svg
"Evansville, IN",married couple 2 children,median,120220,1,31146,7296,2115,1057,634,423,739,1042,782,120,978,evansville-01.svg,family-01.svg
"Evansville, IN",single man,median,120220,1,24417,12747,1574,787,472,315,533,335,271,60,0,evansville-01.svg,single-01.svg
"Evansville, IN",single woman,median,120220,1,21920,10250,1420,710,426,284,533,335,271,60,0,evansville-01.svg,woman-01.svg
"Evansville, IN",married couple,median,120220,1,58363,42633,3786,1893,1136,757,572,669,496,120,0,evansville-01.svg,couple-01.svg
"Evansville, IN","single mother, 1 child",median,120220,1,25964,10234,1674,837,502,335,739,521,399,60,549,evansville-01.svg,mother-01.svg
"Houston, TX",married couple 2 children,median,2167988,1,40234,16384,2778,1389,833,556,926,694,782,180,835,houston-01.svg,family-01.svg
"Houston, TX",single man,median,2167988,1,32075,20405,2135,1067,640,427,623,228,271,90,0,houston-01.svg,single-01.svg
"Houston, TX",single woman,median,2167988,1,29430,17760,1964,982,589,393,623,228,271,90,0,houston-01.svg,woman-01.svg
"Houston, TX",married couple,median,2167988,1,68531,52801,4602,2301,1381,920,750,456,496,180,0,houston-01.svg,couple-01.svg
"Houston, TX","single mother, 1 child",median,2167988,1,27535,11805,1842,921,553,368,926,347,399,90,565,houston-01.svg,mother-01.svg
"Los Angeles, CA",married couple 2 children,median,3862210,1,45096,21246,3022,1511,907,604,1398,778,782,200,901,losangeles-01.svg,family-01.svg
"Los Angeles, CA",single man,median,3862210,1,35666,23996,2286,1143,686,457,896,258,271,100,0,losangeles-01.svg,single-01.svg
"Los Angeles, CA",single woman,median,3862210,1,28556,16886,1859,929,558,372,896,258,271,100,0,losangeles-01.svg,woman-01.svg
"Los Angeles, CA",married couple,median,3862210,1,73543,57813,4161,2081,1248,832,1083,514,496,200,0,losangeles-01.svg,couple-01.svg
"Los Angeles, CA","single mother, 1 child",median,3862210,1,30786,15056,1994,997,598,399,1398,389,399,100,689,losangeles-01.svg,mother-01.svg
"Memphis, TN",married couple 2 children,median,656715,1,29788,5938,2104,1052,631,421,780,618,782,100,593,memphis-01.svg,family-01.svg
"Memphis, TN",single man,median,656715,1,26909,15239,1802,901,541,360,576,203,271,50,0,memphis-01.svg,single-01.svg
"Memphis, TN",single woman,median,656715,1,22192,10522,1498,749,449,300,576,203,271,50,0,memphis-01.svg,woman-01.svg
"Memphis, TN",married couple,median,656715,1,67636,51906,4544,2272,1363,909,658,405,496,100,0,memphis-01.svg,couple-01.svg
"Memphis, TN","single mother, 1 child",median,656715,1,22981,7251,1549,774,465,310,780,309,399,50,384,memphis-01.svg,mother-01.svg
"Miami, FL",married couple 2 children,median,416432,1,53651,29801,3643,1821,1093,729,1166,786,782,290,888,miami-01.svg,family-01.svg
"Miami, FL",single man,median,416432,1,31257,19587,2082,1041,625,416,747,259,271,145,0,miami-01.svg,single-01.svg
"Miami, FL",single woman,median,416432,1,23458,11788,1579,790,474,316,747,259,271,145,0,miami-01.svg,woman-01.svg
"Miami, FL",married couple,median,416432,1,72504,56774,4858,2429,1457,972,910,517,496,290,0,miami-01.svg,couple-01.svg
"Miami, FL","single mother, 1 child",median,416432,1,32808,17078,2182,1091,655,436,1166,393,399,145,566,miami-01.svg,mother-01.svg
"New York, NY",married couple 2 children,median,8354889,1,64190,40340,4044,2022,1213,809,1440,1061,782,233,2011,newyork-01.svg,family-01.svg
"New York, NY",single man,median,8354889,1,38456,26786,2404,1202,721,481,1163,373,271,117,0,newyork-01.svg,single-01.svg
"New York, NY",single woman,median,8354889,1,28700,17030,1828,914,548,366,1163,373,271,117,0,newyork-01.svg,woman-01.svg
"New York, NY",married couple,median,8354889,1,80225,64495,4992,2496,1498,998,1215,745,496,233,0,newyork-01.svg,couple-01.svg
"New York, NY","single mother, 1 child",median,8354889,1,33759,18029,2127,1063,638,425,1440,615,399,117,1045,newyork-01.svg,mother-01.svg
"Oakland, CA",married couple 2 children,median,402339,1,55409,31559,3649,1825,1095,730,1578,967,782,150,901,oakland-01.svg,family-01.svg
"Oakland, CA",single man,median,402339,1,41592,29922,2620,1310,786,524,1035,321,271,75,0,oakland-01.svg,single-01.svg
"Oakland, CA",single woman,median,402339,1,31413,19743,2032,1016,610,406,1035,321,271,75,0,oakland-01.svg,woman-01.svg
"Oakland, CA",married couple,median,402339,1,91555,75825,5712,2856,1714,1142,1255,641,496,150,0,oakland-01.svg,couple-01.svg
"Oakland, CA","single mother, 1 child",median,402339,1,33587,17857,2163,1082,649,433,1578,484,399,75,689,oakland-01.svg,mother-01.svg
"Omaha, NE",married couple 2 children,median,435454,1,51098,27248,3314,1657,994,663,790,824,782,110,1079,omaha-01.svg,family-01.svg
"Omaha, NE",single man,median,435454,1,31136,19466,1974,987,592,395,470,262,271,55,0,omaha-01.svg,single-01.svg
"Omaha, NE",single woman,median,435454,1,24280,12610,1567,784,470,313,470,262,271,55,0,omaha-01.svg,woman-01.svg
"Omaha, NE",married couple,median,435454,1,77258,61528,4853,2427,1456,971,629,524,496,110,0,omaha-01.svg,couple-01.svg
"Omaha, NE","single mother, 1 child",median,435454,1,31141,15411,1975,987,592,395,790,412,399,55,664,omaha-01.svg,mother-01.svg
"Philadelphia, PA",married couple 2 children,median,1546920,1,36684,12834,2453,1226,736,491,1135,897,782,182,1219,philadelphia-01.svg,family-01.svg
"Philadelphia, PA",single man,median,1546920,1,29117,17447,1868,934,560,374,799,303,271,91,0,philadelphia-01.svg,single-01.svg
"Philadelphia, PA",single woman,median,1546920,1,21922,10252,1423,711,427,285,799,303,271,91,0,philadelphia-01.svg,woman-01.svg
"Philadelphia, PA",married couple,median,1546920,1,69617,53887,4490,2245,1347,898,942,606,496,182,0,philadelphia-01.svg,couple-01.svg
"Philadelphia, PA","single mother, 1 child",median,1546920,1,29945,14215,1919,960,576,384,1135,449,399,91,743,philadelphia-01.svg,mother-01.svg
"Portland, OR","married couple, 2 children",median,602568,1,66864,43014,4110,2055,1233,822,922,684,782,200,1064,portland-01.svg,family-01.svg
"Portland, OR",single man,median,602568,1,30606,18936,1855,928,557,371,666,226,271,100,0,portland-01.svg,single-01.svg
"Portland, OR",single woman,median,602568,1,29485,17815,1790,895,537,358,666,226,271,100,0,portland-01.svg,woman-01.svg
"Portland, OR",married couple,median,602568,1,88198,72468,5286,2643,1586,1057,774,452,496,200,0,portland-01.svg,couple-01.svg
"Portland, OR","single mother, 1 child",median,602568,1,31341,15611,1899,949,570,380,922,342,399,100,733,portland-01.svg,mother-01.svg
"Roanoke, VA",married couple 2 children,median,97949,1,41981,18131,2725,1363,818,545,720,846,782,192,1076,roanoke-01.svg,family-01.svg
"Roanoke, VA",single man,median,97949,1,29394,17724,1857,928,557,371,498,279,271,96,0,roanoke-01.svg,single-01.svg
"Roanoke, VA",single woman,median,97949,1,22903,11233,1470,735,441,294,498,279,271,96,0,roanoke-01.svg,woman-01.svg
"Roanoke, VA",married couple,median,97949,1,61011,45281,3861,1930,1158,772,578,558,496,192,0,roanoke-01.svg,couple-01.svg
"Roanoke, VA","single mother, 1 child",median,97949,1,27661,11931,1753,877,526,351,720,423,399,96,655,roanoke-01.svg,mother-01.svg
"St. Louis, MO",married couple 2 children,median,318727,1,32494,8644,2195,1097,658,439,814,871,782,156,815,stlouis-01.svg,family-01.svg
"St. Louis, MO",single man,median,318727,1,26386,14716,1702,851,511,340,532,278,271,78,0,stlouis-01.svg,single-01.svg
"St. Louis, MO",single woman,median,318727,1,19292,7622,1275,637,382,255,532,278,271,78,0,stlouis-01.svg,woman-01.svg
"St. Louis, MO",married couple,median,318727,1,70410,54680,4461,2230,1338,892,631,471,496,156,0,stlouis-01.svg,couple-01.svg
"St. Louis, MO","single mother, 1 child",median,318727,1,24039,8309,1561,780,468,312,814,373,399,78,791,stlouis-01.svg,mother-01.svg
"Washington, DC",married couple 2 children,median,633736,1,68271,44421,4226,2113,1268,845,1469,747,782,474,2597,dc-01.svg,family-01.svg
"Washington, DC",single man,median,633736,1,50892,39222,3008,1504,902,602,1176,227,271,237,0,dc-01.svg,single-01.svg
"Washington, DC",single woman,median,633736,1,44368,32698,2680,1340,804,536,1176,227,271,237,0,dc-01.svg,woman-01.svg
"Washington, DC",married couple,median,633736,1,142152,126422,7976,3988,2393,1595,1239,453,496,474,0,dc-01.svg,couple-01.svg
"Washington, DC","single mother, 1 child",median,633736,1,35665,19935,2204,1102,661,441,1469,374,399,237,1472,dc-01.svg,mother-01.svg
